UWI,level_0,DEPT,M_RESM,M_GR,M_DPHI_SS,M_DRHO,M_DT_SHEAR,M_NPHI_SS,M_CALI,M_PE,M_DT,M_RESS,M_RHOB,M_CALI_X,M_SP,M_RESD,VMI,I_DT33,I_VCL,I_RXO,I_VQUA,I_SG,I_BMFG,I_DT66,I_DT55,I_PHIE,I_VDOL,I_LVMI,I_VCOA,I_BMFO,I_SWE,I_VBWA,I_BMFS,I_DT44,I_VLIM,I_BMFW,I_RHOB,I_SO,I_RT
Well_log1,Well_log1,150.5508,26.458431244,56.311580658,0.3126291335,-0.004432538,354.10351563,0.3210078776,6.0807242393,1.95322752,156.39561462,25.938207626,2.1352014542,6.0945630074,-60.03448105,28.115261078,0.3896000087,158.65875244,0.0582985505,22.03478241,0.6388491988,0.0,0.0,354.10351563,354.10351563,0.2941076458,0.0,0.0678818598,0.0,0.0522803068,0.6188913584,0.0087447716,0.8586613536,354.10351563,0.0,0.089058727,2.1498110294,0.3811086714,24.096504211
Well_log1,Well_log1,150.6008,26.261039734,55.133090973,0.3195952773,-0.005775077,355.4631958,0.3205732405,6.0828814507,1.9441086054,153.51109314,25.744384766,2.1211345196,6.0845308304,-59.98963547,27.858001709,0.1860000044,159.15632629,0.0611885116,23.939172745,0.6070278287,0.1237938404,0.0183764715,355.46322632,355.46322632,0.3226063251,0.0,0.0731513575,0.0,0.0525075905,0.5323826671,0.0091783227,0.8431925774,355.46322632,0.0,0.0859239325,2.1182646751,0.3437984288,30.511211395
Well_log1,Well_log1,150.6508,25.575531006,53.969902039,0.326738596,-0.007117617,356.82290649,0.2962448895,6.085038662,1.9001637697,155.30688477,25.074337006,2.1078000069,6.0744986534,-59.96502686,27.078420639,0.2840000093,159.57168579,0.0671825036,24.429130554,0.5813266039,0.2343659699,0.0350047722,356.70755005,356.70755005,0.3414138854,0.0,0.08442761,0.0,0.0435483307,0.5029307008,0.0100774169,0.8329991698,356.70755005,0.0,0.0884481296,2.0805339813,0.2626858354,38.528003693
Well_log1,Well_log1,150.7008,25.442747116,52.806713104,0.3339236081,-0.007405542,357.65545654,0.278894484,6.0854816437,1.8311126232,157.10267639,24.931751251,2.0975048542,6.0736160278,-59.94042206,26.871614456,0.0092000002,159.77577209,0.0615822263,25.47882843,0.5853836536,0.2562186122,0.0385911092,357.65545654,357.65545654,0.3437969089,0.0,0.0708941817,0.0,0.0291016363,0.5697102547,0.0092371805,0.8324088454,357.65545654,0.0,0.0998983607,2.0564334393,0.174063772,45.127990723
Well_log1,Well_log1,150.7508,27.162612915,52.597717285,0.3374677002,-0.007591707,358.43713379,0.2693023682,6.0857591629,1.7780646086,159.70393372,26.610904694,2.0911905766,6.0736160278,-60.00946045,28.57091713,0.0284000002,159.86140442,0.059584219,27.026596069,0.5868312716,0.2550145984,0.0385202579,358.43713379,358.43713379,0.3446472585,0.0,0.0663444176,0.0,0.0287120938,0.57387954,0.0089372601,0.8320496082,358.43713379,0.0,0.1007185876,2.0604476929,0.1710747927,43.706012726
Well_log1,Well_log1,150.8008,29.50907135,53.188564301,0.3379598558,-0.007777872,359.21881104,0.2712448835,6.086037159,1.8191196918,162.98036194,28.917690277,2.088788271,6.0736160278,-60.1570015,30.909732819,0.0388000011,159.83013916,0.0610668734,25.273365021,0.5881949663,0.2371898293,0.0354350694,358.94802856,358.94802856,0.3415783644,0.0,0.0696028769,0.0,0.0317043327,0.571850419,0.0091598108,0.8335058689,358.94802856,0.0,0.0993552282,2.0905635357,0.1909496039,37.229946136
Well_log1,Well_log1,150.8508,30.515115738,53.779415131,0.3384015858,-0.007265407,358.72171021,0.2832086682,6.0832500458,1.8995432854,166.25679016,29.91680336,2.0898606777,6.0771636963,-60.30454254,31.862913132,0.9323999882,159.48048401,0.0615929589,18.036903381,0.5912581086,0.221902132,0.0326739773,358.72167969,358.72167969,0.3379096091,0.0,0.0707498267,0.0,0.0242281668,0.6300953031,0.0092388187,0.8354790807,358.72167969,0.0,0.1076187789,2.1141414642,0.1480291337,33.303726196
Well_log1,Well_log1,150.9008,29.166292191,54.942661285,0.3360614181,-0.006642972,358.02331543,0.2938685119,6.0799808502,1.9256110191,142.53688049,28.60647583,2.0943243504,6.0812697411,-60.16399765,30.387195587,0.641200006,158.92700195,0.0595608279,19.654016495,0.5931198597,0.2211332917,0.0326107405,358.02334595,358.02334595,0.3383849859,0.0,0.0663494468,0.0,0.0354824327,0.5628252029,0.0089338031,0.8353207707,358.02334595,0.0,0.0965865329,2.1136751175,0.216080308,30.297607422
Well_log1,Well_log1,150.9508,26.652481079,56.687541962,0.3308960795,-0.006020538,357.32495117,0.3060732186,6.0767116547,1.8926897049,91.385162354,26.144618988,2.1018519402,6.0853757858,-59.73073196,27.710206985,0.0,158.26799011,0.0649167746,32.227996826,0.5882560611,0.2280290425,0.0334764868,357.10830688,357.10830688,0.3370899558,0.0,0.079999052,0.0,0.0425909385,0.5115377903,0.009737228,0.8356890678,357.10830688,0.0,0.0882435739,2.1119740009,0.2604739964,28.901926041
Well_log1,Well_log1,151.0008,25.270994186,58.432422638,0.3257251978,-0.00522276,355.56347656,0.3080889583,6.0749602318,1.8799329996,40.23343277,24.781869888,2.1114866734,6.0955619812,-59.29746246,26.198768616,0.8747999668,157.30220032,0.0754974112,32.893341064,0.5810411572,0.2335231155,0.0336906128,355.56350708,355.56350708,0.3321366012,0.0,0.1078463793,0.0,0.0353301242,0.5459086299,0.011324401,0.8378173113,355.56350708,0.0,0.0931609645,2.118326664,0.2205889821,28.478065491
Well_log1,Well_log1,151.0508,24.669744492,59.891487122,0.3202102482,-0.004385444,353.56231689,0.2892125845,6.073551178,1.9081850052,12.534510612,24.185926437,2.1223709583,6.1071195602,-59.07607269,25.496675491,0.9991999865,156.11407471,0.0825204402,21.360931396,0.5742858052,0.2286906391,0.0328453146,353.56231689,353.56231689,0.3308152258,0.0,0.1314204484,0.0,0.0307047945,0.5786535144,0.0123779522,0.8379378319,353.56231689,0.0,0.0985110924,2.1239626408,0.1926259845,28.524484634
Well_log1,Well_log1,151.1008,24.137691498,60.998416901,0.3141637743,-0.003548127,351.56115723,0.2853314877,6.0721421242,1.894767642,13.73277092,23.666440964,2.1331369877,6.1186771393,-59.11573792,24.873464584,0.1583999991,154.8868866,0.0755502433,21.648319244,0.5951823592,0.1275062859,0.0184017494,351.49981689,351.49981689,0.3179349303,0.0,0.1135308519,0.0,0.0440824665,0.5676669478,0.01133285,0.8448343873,351.49981689,0.0,0.092680417,2.1292645931,0.3047842681,27.839391708
Well_log1,Well_log1,151.1508,23.304586411,62.105407715,0.3081023693,-0.00296921,349.24502563,0.3113543391,6.07264328,1.8271385431,14.931030273,22.849237442,2.1424803734,6.1264948845,-59.15540314,23.9402771,0.0784000009,153.53741455,0.0632636845,29.500389099,0.6307519078,0.0,0.0,349.24502563,349.24502563,0.296495229,0.0,0.0749922171,0.0,0.070192188,0.4938299358,0.0094897477,0.8568618894,349.24502563,0.0,0.072945334,2.1386656761,0.506170094,24.813405991
Well_log1,Well_log1,151.2008,22.860296249,62.80412674,0.3038700819,-0.00246835,346.83374023,0.3141889572,6.0737218857,1.7941857576,15.443142891,22.409395218,2.1497046947,6.1331830025,-59.12506866,23.412204742,0.8147999644,152.08836365,0.0712128952,29.143165588,0.6285513639,0.0,0.0,346.83377075,346.83377075,0.2895536721,0.0,0.095431,0.0,0.0586433709,0.5645779371,0.0106816767,0.8601837754,346.83377075,0.0,0.0811728984,2.153711319,0.4354220331,24.528997421
Well_log1,Well_log1,151.2508,23.413211823,62.890483856,0.3022574782,-0.001967491,344.42248535,0.3242779374,6.0748004913,1.8472079039,14.926044464,22.942708969,2.1541583538,6.1398711205,-58.98973465,23.916629791,0.8208000064,150.67845154,0.0811880752,28.684402466,0.6235610843,0.0,0.0,344.45230103,344.45230103,0.2830723226,0.0,0.1276360452,0.0,0.0584466942,0.5539905429,0.0121778818,0.8630461097,344.45230103,0.0,0.0785071999,2.1702594757,0.4460094571,23.883449554
Well_log1,Well_log1,151.3008,24.340139389,62.976902008,0.3005842566,-0.001897677,342.17233276,0.3367480338,6.0768179893,1.8909921646,14.408953667,23.840009689,2.1558637619,6.14174366,-58.85439682,24.802574158,0.7244000435,149.4021759,0.0919625089,23.125152588,0.614060998,0.0,0.0,342.1723938,342.1723938,0.2801821232,0.0,0.1682866663,0.0,0.0546967238,0.5782803297,0.0137944175,0.863779664,342.1723938,0.0,0.0815236419,2.1789278984,0.4217197001,21.341938019
Well_log1,Well_log1,151.3508,25.445625305,62.393795013,0.3008165359,-0.001995492,339.98486328,0.3535047174,6.0792012215,1.9288818836,35.511489868,24.906850815,2.1547954082,6.14174366,-58.79181671,25.86495018,0.0,148.24749756,0.0998870581,18.366437912,0.6060316563,0.0,0.0,339.98492432,339.98492432,0.2790980935,0.0,0.2051891536,0.0,0.0396548323,0.6928456426,0.0149831884,0.8637385368,339.98492432,0.0,0.096606642,2.1796746254,0.3071543276,19.386348724
